uni_full,uni_short,faculty_name,faculty_short,major_name,tags,icon,insights,quota,eng_prof,gpax,tuition,location,outlook,submit_requirements,scores,port_specs
"Chulalongkorn University","CU","ISE (Int. School of Engineering)","ISE","AI / Robotics","{ENG}","bi-cpu","Primary intercept for autonomous systems architecture and cognitive robotics.","30 SEATS","IELTS 6.0+ / DUOLINGO 105+","3.25 PREFERRED","128,000 THB / SEM","CU MAIN CAMPUS","AI ENGINEER, ROBOTICS ARCHITECT, ML OPS","{E-PORTFOLIO,SOP,SAT_MATH}","[{""label"": ""SAT MATH (DIGITAL)"", ""value"": ""700+ PT""}, {""label"": ""CU-ATS (SCI)"", ""value"": ""800+ PT""}, {""label"": ""IELTS_MIN"", ""value"": ""6.0 CORE""}]","Mechanical/electronic prototypes mandatory. Evidence of Python/C++ logic deployment required."
"Chulalongkorn University","CU","ISE (Int. School of Engineering)","ISE","AERO","{ENG}","bi-cpu","Strategic International track in AERO. Global-standard technical deployment.","110 SEATS (EST)","IELTS 6.5+ / DUOLINGO 115+","3.00+ COMPETITIVE","125,000 THB / SEM","MAIN CAMPUS","INTERNATIONAL PROFESSIONAL","{E-PORTFOLIO,IELTS,SAT_MATH}","[{""label"": ""SAT MATH"", ""value"": ""700 PT""}, {""label"": ""IELTS_MIN"", ""value"": ""6.5""}]","Dossier of international interest and core subject mastery."
"Chulalongkorn University","CU","ISE (Int. School of Engineering)","ISE","ADME","{ENG}","bi-cpu","Strategic International track in ADME. Global-standard technical deployment.","110 SEATS (EST)","IELTS 6.5+ / DUOLINGO 115+","3.00+ COMPETITIVE","125,000 THB / SEM","MAIN CAMPUS","INTERNATIONAL PROFESSIONAL","{E-PORTFOLIO,IELTS,SAT_MATH}","[{""label"": ""SAT MATH"", ""value"": ""700 PT""}, {""label"": ""IELTS_MIN"", ""value"": ""6.5""}]","Dossier of international interest and core subject mastery."
"Chulalongkorn University","CU","ISE (Int. School of Engineering)","ISE","ICE","{ENG}","bi-cpu","Strategic International track in ICE. Global-standard technical deployment.","110 SEATS (EST)","IELTS 6.5+ / DUOLINGO 115+","3.00+ COMPETITIVE","125,000 THB / SEM","MAIN CAMPUS","INTERNATIONAL PROFESSIONAL","{E-PORTFOLIO,IELTS,SAT_MATH}","[{""label"": ""SAT MATH"", ""value"": ""700 PT""}, {""label"": ""IELTS_MIN"", ""value"": ""6.5""}]","Dossier of international interest and core subject mastery."
"Chulalongkorn University","CU","ISE (Int. School of Engineering)","ISE","NANO","{ENG}","bi-cpu","Strategic International track in NANO. Global-standard technical deployment.","110 SEATS (EST)","IELTS 6.5+ / DUOLINGO 115+","3.00+ COMPETITIVE","125,000 THB / SEM","MAIN CAMPUS","INTERNATIONAL PROFESSIONAL","{E-PORTFOLIO,IELTS,SAT_MATH}","[{""label"": ""SAT MATH"", ""value"": ""700 PT""}, {""label"": ""IELTS_MIN"", ""value"": ""6.5""}]","Dossier of international interest and core subject mastery."
"Chulalongkorn University","CU","Faculty of Engineering","ENG","CEDT","{ENG}","bi-gear-fill","Core Digital Transformation node. Focuses on full-stack architecture and mission-critical cloud deployment.","120 SEATS","IELTS 5.5+ / THAI_PROF","3.50 THRESHOLD","96,000 THB / SEM","CU MAIN CAMPUS","FULL-STACK DEV, CLOUD ARCHITECT, SEC OPS","{TECH_PORTFOLIO,TRANSCRIPT,APTITUDE}","[{""label"": ""TGAT (COMM)"", ""value"": ""20%""}, {""label"": ""TPAT3 (LOGIC)"", ""value"": ""40%""}, {""label"": ""A-LEVEL MATH 1"", ""value"": ""40%""}]","Highlight GitHub activity, live web-apps, or network security audits."
"Chulalongkorn University","CU","Faculty of Engineering","ENG","Computer Eng","{ENG}","bi-gear-fill","Specialized track focused on Computer Eng. Vital node in the Faculty of Engineering industrial chain.","35-50 SEATS","IELTS 5.0+ / THAI_STD","2.75 - 3.00+","45,000 - 65,000 THB","PRIMARY_DOMAIN","GENERAL FIELD SPECIALIST","{TRANSCRIPT,TGAT/TPAT}","[{""label"": ""TGAT_TOTAL"", ""value"": ""30%""}, {""label"": ""TPAT_CORE"", ""value"": ""30%""}, {""label"": ""A-LEVEL_SUB"", ""value"": ""40%""}]","Academic focus summary and evidence of interest in the track."
"Chulalongkorn University","CU","Faculty of Engineering","ENG","Mechanical Eng","{ENG}","bi-gear-fill","Specialized track focused on Mechanical Eng. Vital node in the Faculty of Engineering industrial chain.","35-50 SEATS","IELTS 5.0+ / THAI_STD","2.75 - 3.00+","45,000 - 65,000 THB","PRIMARY_DOMAIN","GENERAL FIELD SPECIALIST","{TRANSCRIPT,TGAT/TPAT}","[{""label"": ""TGAT_TOTAL"", ""value"": ""30%""}, {""label"": ""TPAT_CORE"", ""value"": ""30%""}, {""label"": ""A-LEVEL_SUB"", ""value"": ""40%""}]","Academic focus summary and evidence of interest in the track."
"Chulalongkorn University","CU","Faculty of Science","SCI","Comp Sci","{SCI}","bi-calculator","Specialized track focused on Comp Sci. Vital node in the Faculty of Science industrial chain.","35-50 SEATS","IELTS 5.0+ / THAI_STD","2.75 - 3.00+","45,000 - 65,000 THB","PRIMARY_DOMAIN","GENERAL FIELD SPECIALIST","{TRANSCRIPT,TGAT/TPAT}","[{""label"": ""TGAT_TOTAL"", ""value"": ""30%""}, {""label"": ""TPAT_CORE"", ""value"": ""30%""}, {""label"": ""A-LEVEL_SUB"", ""value"": ""40%""}]","Academic focus summary and evidence of interest in the track."
"Chulalongkorn University","CU","Faculty of Science","SCI","BioTech","{SCI}","bi-calculator","Specialized track focused on BioTech. Vital node in the Faculty of Science industrial chain.","35-50 SEATS","IELTS 5.0+ / THAI_STD","2.75 - 3.00+","45,000 - 65,000 THB","PRIMARY_DOMAIN","GENERAL FIELD SPECIALIST","{TRANSCRIPT,TGAT/TPAT}","[{""label"": ""TGAT_TOTAL"", ""value"": ""30%""}, {""label"": ""TPAT_CORE"", ""value"": ""30%""}, {""label"": ""A-LEVEL_SUB"", ""value"": ""40%""}]","Academic focus summary and evidence of interest in the track."
"Chulalongkorn University","CU","Faculty of Science","SCI","Chemistry","{SCI}","bi-calculator","Specialized track focused on Chemistry. Vital node in the Faculty of Science industrial chain.","35-50 SEATS","IELTS 5.0+ / THAI_STD","2.75 - 3.00+","45,000 - 65,000 THB","PRIMARY_DOMAIN","GENERAL FIELD SPECIALIST","{TRANSCRIPT,TGAT/TPAT}","[{""label"": ""TGAT_TOTAL"", ""value"": ""30%""}, {""label"": ""TPAT_CORE"", ""value"": ""30%""}, {""label"": ""A-LEVEL_SUB"", ""value"": ""40%""}]","Academic focus summary and evidence of interest in the track."
"Chulalongkorn University","CU","Faculty of Science","SCI","Biology","{SCI}","bi-calculator","Specialized track focused on Biology. Vital node in the Faculty of Science industrial chain.","35-50 SEATS","IELTS 5.0+ / THAI_STD","2.75 - 3.00+","45,000 - 65,000 THB","PRIMARY_DOMAIN","GENERAL FIELD SPECIALIST","{TRANSCRIPT,TGAT/TPAT}","[{""label"": ""TGAT_TOTAL"", ""value"": ""30%""}, {""label"": ""TPAT_CORE"", ""value"": ""30%""}, {""label"": ""A-LEVEL_SUB"", ""value"": ""40%""}]","Academic focus summary and evidence of interest in the track."
